date;station_uuid;diesel;e5;e10;dieselchange;e5change;e10change
2022-09-01 00:02:11;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.319;2.029;1.969;1;1;1
2022-09-01 07:48:15;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;2.029;1.969;1;0;0
2022-09-01 09:04:19;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.279;2.089;2.029;1;1;1
2022-09-01 10:29:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.249;2.019;1.959;1;1;1
2022-09-01 11:31:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;2.019;1.959;1;0;0
2022-09-01 11:50:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;2.019;1.959;1;0;0
2022-09-01 12:05:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.259;2.069;2.009;1;1;1
2022-09-01 12:17:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.259;2.009;1.949;0;1;1
2022-09-01 13:33:11;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.259;1.969;1.909;0;1;1
2022-09-01 13:47:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.259;1.959;1.899;0;1;1
2022-09-01 14:26:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;1;1
2022-09-01 14:34:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.919;1.859;0;1;1
2022-09-01 15:06:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.959;1.899;1;1;1
2022-09-01 15:10:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.939;1.879;0;1;1
2022-09-01 15:36:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.929;1.869;0;1;1
2022-09-01 16:27:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.929;1.869;1;0;0
2022-09-01 16:48:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.919;1.859;0;1;1
2022-09-01 17:07:14;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.939;1.879;1;1;1
2022-09-01 17:15:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.929;1.869;0;1;1
2022-09-01 17:28:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.929;1.869;1;0;0
2022-09-01 17:38:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.899;1.839;0;1;1
2022-09-01 18:39:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;1;0;0
2022-09-01 18:40:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.889;1.829;0;1;1
2022-09-01 19:06:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.919;1.859;1;1;1
2022-09-01 19:10:12;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.909;1.849;0;1;1
2022-09-01 20:35:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.909;1.849;1;0;0
2022-09-01 20:56:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.889;1.829;0;1;1
2022-09-02 05:01:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;2.169;2.109;0;1;1
2022-09-02 07:48:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;2.159;2.099;0;1;1
2022-09-02 09:02:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;2.209;2.149;1;1;1
2022-09-02 09:08:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;2.059;1.999;0;1;1
2022-09-02 09:34:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;2.049;1.989;0;1;1
2022-09-02 09:43:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;2.019;1.959;0;1;1
2022-09-02 10:32:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;2.019;1.959;1;0;0
2022-09-02 10:42:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.989;1.929;0;1;1
2022-09-02 11:11:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.989;1.929;1;0;0
2022-09-02 11:20:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.949;1.889;1;1;1
2022-09-02 11:28:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.939;1.879;1;1;1
2022-09-02 11:41:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.909;1.849;1;1;1
2022-09-02 11:47:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.909;1.849;1;0;0
2022-09-02 12:12:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.959;1.899;1;1;1
2022-09-02 12:13:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;1;1
2022-09-02 14:12:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.929;1.869;1;0;0
2022-09-02 14:26:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.879;1.819;1;1;1
2022-09-02 14:45:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.869;1.809;0;1;1
2022-09-02 15:03:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;1;1;1
2022-09-02 16:25:11;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;3;3;3
2022-09-02 16:40:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.909;1.849;1;0;0
2022-09-02 16:45:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.889;1.829;1;1;1
2022-09-02 17:01:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;1;1;1
2022-09-02 18:15:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.889;1.829;1;1;1
2022-09-02 18:34:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.889;1.829;1;0;0
2022-09-02 19:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.919;1.859;1;1;1
2022-09-02 19:09:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;0;1;1
2022-09-02 20:34:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.909;1.849;1;0;0
2022-09-02 20:42:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;1;1
2022-09-03 05:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;2.169;2.109;1;1;1
2022-09-03 07:51:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.949;1.889;0;1;1
2022-09-03 08:27:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.949;1.889;1;0;0
2022-09-03 08:43:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.949;1.889;1;0;0
